department,seniority_level,avg_salary
Support,Senior,86699.70172602736
Support,Mid,84426.76925925924
HR,Senior,81840.92155300954
Unknown,Senior,92021.3257142857
HR,Mid,96041.55200140497
Finance,Senior,88096.76586012973
Marketing,Senior,87375.64721952932
Sales,Senior,86466.26786127963
Marketing,Junior,90658.48894672754
Support,Junior,73974.36716394166
Engineering,Senior,89382.90579435346
Finance,Mid,86908.0740376712
Sales,Mid,85766.74600144196
Engineering,Mid,91214.48796004565
Sales,Junior,88485.34483409436
Engineering,Junior,91431.0708371385
Marketing,Mid,86631.67800249069
HR,Junior,87052.49592592588
Finance,Junior,81070.91414080915
Unknown,Mid,74480.72571428571
Unknown,Junior,25043.6
