emp_id,department,salary,age,city,status,years_experience
1,HR,65479.1,31,Mumbai,Active,26
2,Sales,88429.47,24,Chennai,Inactive,2
3,Finance,95681.71,36,Kochi,Active,18
4,Marketing,94583.11,30,Chennai,Active,17
5,Finance,47590.8,58,Delhi,Inactive,3
6,HR,50744.84,56,Bangalore,Inactive,18
7,Sales,47470.84,37,Kochi,Inactive,16
8,Sales,101119.88,26,Kochi,Inactive,5
9,Support,29900.91,26,Kochi,Inactive,10
10,Marketing,82025.67,27,Chennai,On Leave,21
11,Marketing,,50,Chennai,On Leave,11
12,Engineering,39636.97,25,Bangalore,Active,23
13,HR,35072.66,50,Kochi,Inactive,28
14,Finance,113299.59,44,Chennai,Active,4
15,Marketing,26507.88,33,Bangalore,Active,4
16,Support,144137.24,54,Mumbai,Inactive,28
17,HR,94908.97,47,Chennai,Active,15
18,Sales,51095.4,32,Bangalore,On Leave,1
19,Sales,143618.59,23,Delhi,On Leave,12
20,Sales,70520.43,29,Chennai,Inactive,15
21,HR,67829.48,38,Delhi,On Leave,0
22,Support,111258.45,23,Bangalore,On Leave,27
23,Engineering,138532.32,44,Kochi,On Leave,24
24,Engineering,123549.91,34,Chennai,On Leave,25
25,Marketing,28622.52,23,Chennai,Inactive,6
26,Marketing,142127.65,44,Mumbai,Active,3
27,HR,103008.3,22,Bangalore,On Leave,2
28,HR,113936.62,34,Delhi,Inactive,25
29,HR,115228.09,51,Mumbai,On Leave,5
30,Support,138106.51,31,Kochi,Inactive,21
31,Support,27674.58,28,Delhi,Inactive,27
32,Engineering,51597.47,54,Kochi,Inactive,8
33,Finance,117490.26,51,Kochi,On Leave,13
34,Sales,,54,Chennai,Active,19
35,Support,84186.62,29,Mumbai,Inactive,21
36,Sales,,57,Delhi,Active,8
37,HR,28483.22,26,Bangalore,On Leave,16
38,Support,88519.52,52,Delhi,On Leave,16
39,HR,94939.23,34,Delhi,Inactive,3
40,Finance,78542.33,35,Bangalore,Active,28
